timestamp,Wine Cellar Cooler 1,Wine Cellar Cooler 2,Wine Cellar AC 1,Wine Cellar AC 2
2017-12-06T00:15:00,127.91,26.38,0.11,0.06
2017-12-06T00:30:00,37.74,116.94,2.27,1.14
2017-12-06T00:45:00,61.98,397.05,2.23,1.07
2017-12-06T01:00:00,180.39,34,2.27,1.19
2017-12-06T01:15:00,62.42,31.48,2.29,1.2
2017-12-06T01:30:00,142.85,50.33,2.29,1.21
2017-12-06T01:45:00,26.99,501.53,2.28,1.26
2017-12-06T02:00:00,102.36,407.82,2.26,2.15
2017-12-06T02:15:00,278.82,60.72,2.25,2.17
2017-12-06T02:30:00,27.28,50.75,2.3,2.41
2017-12-06T02:45:00,102,851.62,2.29,2.47
2017-12-06T03:00:00,102.61,50.12,2.3,2.49
2017-12-06T03:15:00,238.44,58.62,2.31,2.49
2017-12-06T03:30:00,94.79,408.92,2.27,2.25
2017-12-06T03:45:00,102.54,411.44,2.3,2.41
2017-12-06T04:00:00,305.01,64.17,2.58,2.78
2017-12-06T04:15:00,76.71,58.65,2.32,2.5
2017-12-06T04:30:00,208.21,78.75,2.31,2.5
2017-12-06T04:45:00,46.57,890.94,2.3,2.42
2017-12-06T05:00:00,102.76,309.26,2.28,2.25
2017-12-06T05:15:00,274.6,60.54,2.26,2.43
2017-12-06T05:30:00,25.78,49.42,2.26,2.47
2017-12-06T05:45:00,101.15,737.99,2.27,2.48
2017-12-06T06:00:00,100.93,163.6,2.23,2.36
2017-12-06T06:15:00,244.58,56.8,2.21,2.17
2017-12-06T06:30:00,88.73,309.3,2.19,2.11
2017-12-06T06:45:00,100.98,733.66,2.23,2.31
2017-12-06T07:00:00,195.76,49.44,2.24,2.32
2017-12-06T07:15:00,185.89,57.74,2.25,2.33
2017-12-06T07:30:00,253.19,92.73,2.22,2.37
2017-12-06T07:45:00,13.72,309.65,2.2,2.24
2017-12-06T08:00:00,88.61,875.47,2.21,2.32
2017-12-06T08:15:00,101.77,49.79,2.26,2.5
2017-12-06T08:30:00,239.67,60.64,2.28,2.51
2017-12-06T08:45:00,76,61.2,2.26,2.49
2017-12-06T09:00:00,212.29,79.02,2.27,2.49
2017-12-06T09:15:00,47.59,930.99,2.25,2.24
2017-12-06T09:30:00,101.67,247.55,2.25,2.37
2017-12-06T09:45:00,261.29,61.34,2.24,2.44
2017-12-06T10:00:00,37.9,95.43,2.23,2.43
2017-12-06T10:15:00,100.58,854.56,2.22,2.4
2017-12-06T10:30:00,196.75,50.22,2.21,2.36
2017-12-06T10:45:00,200.62,57.01,1.78,1.41
2017-12-06T11:00:00,226.37,69.14,1.44,0.87
2017-12-06T11:15:00,37.96,757.23,1.45,0.86
2017-12-06T11:30:00,100.98,535.39,1.46,0.87
2017-12-06T11:45:00,256.44,55.9,1.44,0.87
2017-12-06T12:00:00,67.51,53.7,1.44,0.78
2017-12-06T12:15:00,274.51,105.67,1.41,0.68
2017-12-06T12:30:00,18.45,69.35,1.59,1.24
2017-12-06T12:45:00,46.68,135.44,2.21,2.42
2017-12-06T13:00:00,176.15,135.56,2.22,2.43
2017-12-06T13:15:00,199.08,135.6,2.22,2.46
2017-12-06T13:30:00,13.96,135.49,2.2,2.28
2017-12-06T13:45:00,194.41,135.38,2.2,2.29
2017-12-06T14:00:00,194.47,135.04,2.21,2.45
2017-12-06T14:15:00,192.59,134.98,2.22,2.46
2017-12-06T14:30:00,195.72,271.2,2.22,2.47
2017-12-06T14:45:00,14.26,970.75,2.21,2.46
