Time,Value
2018-11-05 09:40:00AM,0.070221
2018-11-05 09:42:00AM,0.057407
2018-11-05 09:43:00AM,0.070165
2018-11-05 09:44:00AM,0.059820
2018-11-05 09:45:00AM,0.058991
2018-11-05 09:46:00AM,0.059566
2018-11-05 09:47:00AM,0.059983
2018-11-05 09:48:00AM,0.059807
2018-11-05 09:49:00AM,0.060774
2018-11-05 09:50:00AM,0.070756
2018-11-05 09:51:00AM,0.060556
2018-11-05 09:52:00AM,0.060421
2018-11-05 09:53:00AM,0.069892
2018-11-05 09:54:00AM,0.069627
2018-11-05 09:55:00AM,0.060783
2018-11-05 09:56:00AM,0.060073
2018-11-05 09:57:00AM,0.059760
2018-11-05 09:58:00AM,0.058109
2018-11-05 09:59:00AM,0.057903
2018-11-05 10:00:00AM,0.069686
2018-11-05 10:01:00AM,0.070208
2018-11-05 10:02:00AM,0.060057
2018-11-05 10:03:00AM,0.059487
2018-11-05 10:04:00AM,0.069916
2018-11-05 10:05:00AM,0.059637
2018-11-05 10:06:00AM,0.069640
2018-11-05 10:09:00AM,0.131117
2018-11-05 10:10:00AM,0.130376
2018-11-05 10:11:00AM,0.129244
2018-11-05 10:12:00AM,0.128144
2018-11-05 10:13:00AM,0.127270
2018-11-05 10:14:00AM,0.128057
2018-11-05 10:15:00AM,0.127892
2018-11-05 10:16:00AM,0.127454
2018-11-05 10:17:00AM,0.126913
2018-11-05 10:18:00AM,0.127175
2018-11-05 10:19:00AM,0.126532
2018-11-05 10:20:00AM,0.128716
2018-11-05 10:21:00AM,0.130118
2018-11-05 10:22:00AM,0.129787
2018-11-05 10:23:00AM,0.129026
2018-11-05 10:24:00AM,0.129365
2018-11-05 10:25:00AM,0.130304
2018-11-05 10:26:00AM,0.129843
2018-11-05 10:27:00AM,0.128494
2018-11-05 10:28:00AM,0.130384
2018-11-05 10:29:00AM,0.128596
2018-11-05 10:30:00AM,0.129412
2018-11-05 10:31:00AM,0.131269
2018-11-05 10:32:00AM,0.130338
2018-11-05 10:33:00AM,0.131280
2018-11-05 10:34:00AM,0.128891
2018-11-05 10:35:00AM,0.127055
2018-11-05 10:36:00AM,0.127291
2018-11-05 10:37:00AM,0.129544
2018-11-05 10:38:00AM,0.130278
2018-11-05 10:39:00AM,0.130313
2018-11-05 10:40:00AM,0.130535
2018-11-05 10:41:00AM,0.130418
2018-11-05 10:42:00AM,0.130671
2018-11-05 10:43:00AM,0.130428
2018-11-05 10:44:00AM,0.127178
